"Year","Month","P","E","Q"
1980,1,5.973827189,47.403221488,2.19354838709677
1980,2,5.58835077,57.959142131,1.57931034482759
1980,3,3.602874946,101.188304722,1.2258064516129
1980,4,0,167.157064063,0.943333333333333
1980,5,2.44417554,256.198275569,0.583870967741935
1980,6,238.460827379,203.935779445,27.76
1980,7,391.39879427,158.943537883,155.758064516129
1980,8,543.4298924,127.155113794,384.222580645161
1980,9,199.150379168,115.721419391,291.55
1980,10,0.864447816,88.839505523,43.3483870967742
1980,11,0,59.557762585,16.2433333333333
1980,12,55.18683236,40.76359886,10.2129032258065
1981,1,4.26701956,43.416769164,8.01935483870968
1981,2,0.003630862,55.167222198,6.02142857142857
1981,3,16.098485312,94.653453286,5.33870967741935
1981,4,0.3472012,154.410073945,5.05666666666667
1981,5,8.501966564,224.696534346,2.33548387096774
1981,6,162.95113966,233.243395008,7.78
1981,7,268.576710492,158.437612567,68.1258064516129
1981,8,217.0350899,127.569610269,67.0516129032258
1981,9,134.89425348,115.505410327,17.1166666666667
1981,10,5.160514658,82.814552803,10.0258064516129
1981,11,3.52208787,53.079156258,6.10333333333333
1981,12,34.588805542,37.464623691,4.08064516129032
1982,1,73.617244423,47.337633793,9.24193548387097
1982,2,10.91543126,49.373038024,10.6
1982,3,4.17382805,87.078123436,4.0258064516129
1982,4,2.82692875,142.80767197,3.07333333333333
1982,5,9.412860014,201.284855903,1.91935483870968
1982,6,71.41180173,214.242605658,3.35666666666667
1982,7,163.20726143,186.875022418,10.9967741935484
1982,8,575.107852,122.781133287,297.312903225806
1982,9,156.395309053,110.411398946,179.656666666667
1982,10,7.922692775,84.832449063,31.2387096774194
1982,11,10.017397208,57.302523332,13.0466666666667
1982,12,1.3072617,42.814747634,8.14193548387097
1983,1,1.6340392,43.045209238,6.21290322580645
1983,2,9.6211787,49.589881933,5.70357142857143
1983,3,0.02481089,95.608495611,3.49032258064516
1983,4,0.41119507,137.663059198,2.77666666666667
1983,5,16.829802969,215.152548391,1.85806451612903
1983,6,84.12435013,229.327644616,4.09
1983,7,340.484867,174.705974927,60.4870967741935
1983,8,268.63101486,134.715223492,138.267741935484
1983,9,511.4738807,114.562824886,415.626666666667
1983,10,93.36142733,78.871555363,206.225806451613
1983,11,0,48.978976663,33.3066666666667
1983,12,2.06414488,38.764119511,11.4774193548387
1984,1,52.029349592,44.332828607,10.7258064516129
1984,2,24.042209572,48.415702169,8.29655172413793
1984,3,0,98.41891999,5.40645161290323
1984,4,3.660817723,153.245587907,3.33
1984,5,0.6360061,244.600877007,2.28387096774194
1984,6,87.393942462,211.00196238,10.97
1984,7,177.84252997,170.274043178,13.7387096774194
1984,8,680.13735691,122.360523992,236.103225806452
1984,9,148.2580846,106.914817801,163.126666666667
1984,10,0.912708002,83.735158783,29.2516129032258
1984,11,0,52.284425092,12.9566666666667
1984,12,0,40.794636303,6.76129032258065
1985,1,51.871108576,44.905633065,7.55161290322581
1985,2,9.2236008,49.954776723,6.08928571428571
1985,3,0.1579425,107.276130315,4.15806451612903
1985,4,1.108623274,153.452442728,3.13466666666667
1985,5,0.703025788,240.094656645,1.91935483870968
1985,6,71.855827486,218.824469512,2.34
1985,7,456.0694336,164.363519916,58.8548387096774
1985,8,399.6698861,124.919653106,309.987096774194
1985,9,100.280634096,111.492780315,71.11
1985,10,64.7320695,78.355829774,62.4290322580645
1985,11,0,54.592285328,35.6866666666667
1985,12,0.0269289,42.613652067,10.0838709677419
1986,1,4.737064484,45.555367215,6.68387096774194
1986,2,71.29122322,50.749567941,15.4142857142857
1986,3,32.2299596,94.633530873,9.24516129032258
1986,4,0,154.424159773,3.64
1986,5,17.42496337,211.910896662,2.75806451612903
1986,6,160.4176941,211.800248375,18.3866666666667
1986,7,268.64402101,160.532727655,52.041935483871
1986,8,229.1550782,128.154061635,95.1377419354839
1986,9,79.100914864,117.542770944,30.2166666666667
1986,10,12.9145222,84.627158998,12.7225806451613
1986,11,0,59.717486246,6.14666666666667
1986,12,27.028440993,39.601657151,4.65483870967742
1987,1,32.127385691,42.958700517,6.08064516129032
1987,2,56.044324033,54.078076001,4.26785714285714
1987,3,2.193191716,95.704489139,4.11290322580645
1987,4,0,152.917617812,2.18666666666667
1987,5,8.257942968,211.838153662,1.88387096774194
1987,6,43.993343577,241.059503466,1.77866666666667
1987,7,254.245993512,179.861882543,19.3109677419355
1987,8,423.95038555,141.401593047,158.938064516129
1987,9,325.8815375,110.690621404,287.543
1987,10,70.28910879,82.675639268,71.2861290322581
1987,11,12.4198135,55.970555873,25.661
1987,12,3.0974281,38.40497384,9.52870967741936
1988,1,6.84114961,45.421816108,7.42096774193548
1988,2,12.7807863,57.988319695,5.81172413793103
1988,3,5.50847274,98.995972001,4.79322580645161
1988,4,3.251134322,159.862435135,3.4
1988,5,47.540245279,247.75956648,2.55193548387097
1988,6,213.05311091,214.369429647,17.4573333333333
1988,7,348.15735053,162.530494759,47.6435483870968
1988,8,473.3898524,132.79161692,329.184193548387
1988,9,72.797885558,122.702398865,52.4086666666667
1988,10,21.34568752,82.133969586,26.6654838709677
1988,11,0,56.309627252,13.3726666666667
1988,12,0.54326779,41.043445149,7.43741935483871
1989,1,0.1092284,41.174934073,4.85741935483871
1989,2,0,52.449934942,3.45571428571429
1989,3,21.1496222,92.929739328,2.92870967741935
1989,4,0,148.000463127,2.48133333333333
1989,5,1.393343372,238.35860812,1.57548387096774
1989,6,164.50424416,199.830370784,5.27633333333333
1989,7,167.19545742,168.16144157,25.6909677419355
1989,8,340.993801391,130.20741221,76.6587096774194
1989,9,151.162317876,115.506294988,44.784
1989,10,0.79455373,82.798944063,14.771935483871
1989,11,0.08426627,58.8804586,4.36933333333333
1989,12,17.6325252,39.694053114,2.6058064516129
1990,1,0.000605144,49.150203012,2.22935483870968
1990,2,32.3753372,53.277592289,2.39071428571429
1990,3,2.1301056,89.666580867,1.68870967741935
1990,4,0.08774584,150.117917419,0.97
1990,5,16.319517372,208.874547033,1.28451612903226
1990,6,435.778981604,191.219477751,99.2116666666667
1990,7,358.68381036,150.827190854,234.066774193548
1990,8,289.64221495,130.367240115,249.179032258065
1990,9,390.9697335,107.279397181,440.323333333333
1990,10,32.47972737,82.778242615,116.074516129032
1990,11,0,56.290533985,20.7916666666667
1990,12,2.18547655,40.776024801,9.42451612903226
1991,1,0.173525,42.296517069,7.40129032258065
1991,2,10.464145777,57.79397532,5.17535714285714
1991,3,8.386686078,99.782890388,5.92870967741935
1991,4,2.372314272,139.54421698,4.008
1991,5,1.769742719,235.080802907,2.71129032258065
