"Date","P","E","Q","year","month","day"
1980-01-01,0.006959153,1.34514582,2.6,1980,1,1
1980-01-02,0,1.370403063,2.6,1980,1,2
1980-01-03,0,1.355833105,2.5,1980,1,3
1980-01-04,0.003479576,1.333885346,2.4,1980,1,4
1980-01-05,0.4940998,1.365902437,2.3,1980,1,5
1980-01-06,3.022844,1.258555703,2.6,1980,1,6
1980-01-07,0,1.174898367,2.3,1980,1,7
1980-01-08,0,1.204064176,2.6,1980,1,8
1980-01-09,0,1.272228236,2.6,1980,1,9
1980-01-10,0,1.342042624,2.2,1980,1,10
1980-01-11,0.07261725,1.475382118,2.3,1980,1,11
1980-01-12,0.1405446,1.652838441,2.3,1980,1,12
1980-01-13,0.3839637,1.526994109,2.5,1980,1,13
1980-01-14,0,1.470831296,2.2,1980,1,14
1980-01-15,1.767776,1.488009375,2.2,1980,1,15
1980-01-16,0.07125567,1.652294085,2.2,1980,1,16
1980-01-17,0,1.794154909,2.2,1980,1,17
1980-01-18,0,1.805875197,2.1,1980,1,18
1980-01-19,0.01028744,1.93399295,2.1,1980,1,19
1980-01-20,0,1.773946506,1.7,1980,1,20
1980-01-21,0,1.813318241,2.2,1980,1,21
1980-01-22,0,1.7694079,2.2,1980,1,22
1980-01-23,0,1.623651391,2.2,1980,1,23
1980-01-24,0,1.378320734,2.1,1980,1,24
1980-01-25,0,1.45850293,1.9,1980,1,25
1980-01-26,0,1.636054384,1.8,1980,1,26
1980-01-27,0,1.822453601,1.8,1980,1,27
1980-01-28,0,1.853662966,1.9,1980,1,28
1980-01-29,0,1.71137369,2,1980,1,29
1980-01-30,0,1.391171663,1.7,1980,1,30
1980-01-31,0,1.348026125,1.7,1980,1,31
1980-02-01,0.07897126,1.49469919,1.8,1980,2,1
1980-02-02,2.692587,1.848949012,1.7,1980,2,2
1980-02-03,1.959909,1.879595763,1.7,1980,2,3
1980-02-04,0.8301059,1.979133846,1.5,1980,2,4
1980-02-05,0,1.838586321,1.7,1980,2,5
1980-02-06,0,1.548500019,1.7,1980,2,6
1980-02-07,0,1.294321015,1.6,1980,2,7
1980-02-08,0,1.355294102,1.6,1980,2,8
1980-02-09,0,1.497975667,1.6,1980,2,9
1980-02-10,0,1.613950208,1.7,1980,2,10
1980-02-11,0,1.63007384,1.6,1980,2,11
1980-02-12,0,1.621598575,1.6,1980,2,12
1980-02-13,0,1.714991954,1.6,1980,2,13
1980-02-14,0,1.833268679,1.5,1980,2,14
1980-02-15,0.02677761,2.299397765,1.6,1980,2,15
