"year","month","P","E","Q"
1980,6,238.460827379,203.935779445,27.76
1981,6,162.95113966,233.243395008,7.78
1982,6,71.41180173,214.242605658,3.35666666666667
1983,6,84.12435013,229.327644616,4.09
1984,6,87.393942462,211.00196238,10.97
1985,6,71.855827486,218.824469512,2.34
1986,6,160.4176941,211.800248375,18.3866666666667
1987,6,43.993343577,241.059503466,1.77866666666667
1988,6,213.05311091,214.369429647,17.4573333333333
1989,6,164.50424416,199.830370784,5.27633333333333
1990,6,435.778981604,191.219477751,99.2116666666667
1991,6,98.399403233,209.83176123,6.12333333333333
1992,6,38.383203929,236.176335417,1.78266666666667
1993,6,119.354461092,224.524976531,5.88366666666667
1994,6,271.6766909,208.5371719,19.214
1995,6,35.553707738,244.98658183,2.98666666666667
1996,6,20.950982935,218.528364488,1.12433333333333
1997,6,100.21089371,208.958512114,0.213
1998,6,81.681084876,228.316360935,3.892
1999,6,88.117999895,200.470833222,1.86266666666667
2000,6,146.9487074,182.890476655,13.3986666666667
2001,6,269.4148385,177.941315799,31.975
2002,6,57.462473356,213.600161888,1.831
2003,6,146.8466049,230.909377045,3.31766666666667
2004,6,232.52691887,193.731215103,21.32
2005,6,162.269299153,228.891292201,4.04733333333333
2006,6,80.66429245,227.782234622,2.276
2007,6,47.473073695,221.578171126,1.753
2008,6,524.1154452,178.789017131,66.1923010752688
2009,6,31.455366628,248.999451166,0.147333333333333
2010,6,44.03525062,237.698313374,0
2011,6,349.9163428,193.786449643,76.7623333333333
2012,6,116.342356495,236.700567953,14.4879444444444
2013,6,386.7535619,189.912277706,50.3323333333333
2014,6,94.439626923,236.994780868,2.47833333333333
2015,6,113.501661234,215.438193819,3.71533333333333
1980,7,391.39879427,158.943537883,155.758064516129
1981,7,268.576710492,158.437612567,68.1258064516129
1982,7,163.20726143,186.875022418,10.9967741935484
1983,7,340.484867,174.705974927,60.4870967741935
1984,7,177.84252997,170.274043178,13.7387096774194
1985,7,456.0694336,164.363519916,58.8548387096774
1986,7,268.64402101,160.532727655,52.041935483871
1987,7,254.245993512,179.861882543,19.3109677419355
1988,7,348.15735053,162.530494759,47.6435483870968
1989,7,167.19545742,168.16144157,25.6909677419355
1990,7,358.68381036,150.827190854,234.066774193548
1991,7,394.652202426,176.751095117,73.4677419354839
1992,7,305.66913742,183.197227652,34.4770967741935
1993,7,257.02027673,178.200218568,44.9964516129032
1994,7,709.34082423,153.107483617,369.299677419355
1995,7,413.25508492,176.958128006,83.3761290322581
1996,7,254.33905408,172.197750603,19.7677419354839
1997,7,516.8361578,166.141650156,122.802903225806
1998,7,271.99712333,169.860117533,70.6603225806452
1999,7,411.7346545,169.581666866,108.063548387097
2000,7,501.0977677,157.834866024,133.758709677419
2001,7,453.039348974,154.163973097,175.704193548387
2002,7,109.07110455,189.601062419,6.82290322580645
2003,7,340.7677697,167.904144426,62.0316129032258
2004,7,218.10937108,166.304069022,23.1593548387097
2005,7,718.299241,157.443619139,529.644838709677
2006,7,240.68623045,162.178193665,12.6164516129032
2007,7,215.5154348,168.165413067,19.2767741935484
2008,7,254.30514593,161.899266314,145.291612903226
2009,7,265.6771642,170.917154621,44.28
2010,7,354.742053872,178.768389939,139.618709677419
2011,7,457.94357906,169.495750839,306.656451612903
2012,7,525.303359072,171.279750803,102.503548387097
2013,7,458.0004618,160.769561183,239.451935483871
2014,7,293.49954918,177.262541469,34.1583870967742
2015,7,284.02510035,171.473346851,44.0348387096774
1980,8,543.4298924,127.155113794,384.222580645161
1981,8,217.0350899,127.569610269,67.0516129032258
1982,8,575.107852,122.781133287,297.312903225806
1983,8,268.63101486,134.715223492,138.267741935484
1984,8,680.13735691,122.360523992,236.103225806452
1985,8,399.6698861,124.919653106,309.987096774194
1986,8,229.1550782,128.154061635,95.1377419354839
1987,8,423.95038555,141.401593047,158.938064516129
1988,8,473.3898524,132.79161692,329.184193548387
1989,8,340.993801391,130.20741221,76.6587096774194
1990,8,289.64221495,130.367240115,249.179032258065
1991,8,629.6998448,117.086513767,458.775161290323
1992,8,500.73858597,127.030664499,219.941290322581
1993,8,413.51452875,134.93967351,143.465161290323
1994,8,660.2148304,123.116499538,756.387096774194
1995,8,577.986685963,127.315150333,319.597096774194
1996,8,278.8824616,124.003449213,92.9241935483871
1997,8,293.49410073,127.688151906,246.843870967742
