"year","month","P","E","Q"
1980,10,0.864447816,88.839505523,43.3483870967742
1981,10,5.160514658,82.814552803,10.0258064516129
1982,10,7.922692775,84.832449063,31.2387096774194
1983,10,93.36142733,78.871555363,206.225806451613
1984,10,0.912708002,83.735158783,29.2516129032258
1985,10,64.7320695,78.355829774,62.4290322580645
1986,10,12.9145222,84.627158998,12.7225806451613
1987,10,70.28910879,82.675639268,71.2861290322581
1988,10,21.34568752,82.133969586,26.6654838709677
1989,10,0.79455373,82.798944063,14.771935483871
1990,10,32.47972737,82.778242615,116.074516129032
1991,10,0.18956127,80.392327708,18.7587096774194
1992,10,1.6974282,81.878033976,38.2267741935484
1993,10,15.785022331,86.088065402,71.5938709677419
1994,10,1.12738277,81.920540103,28.9832258064516
1995,10,5.62178474,87.619743041,29.1235483870968
1996,10,62.7591516,81.117452087,23.3074193548387
1997,10,114.1152736,78.56610029,50.7761290322581
1998,10,8.345536789,91.9947827,16.9077419354839
1999,10,56.863391824,82.946614711,135.991290322581
2000,10,0,87.810115721,15.0564516129032
2001,10,80.10332706,87.312991661,51.5587096774194
2002,10,32.3249648,84.734422929,39.7967741935484
2003,10,44.716183386,80.181602119,215.575161290323
2004,10,22.8428142,76.776338208,34.6864516129032
2005,10,6.3157337,81.410425636,51.3267741935484
2006,10,7.14356992,90.420479025,26.7132258064516
2007,10,0.2340393,82.338552343,22.1990322580645
2008,10,15.7888046,86.729940022,28.6122580645161
2009,10,50.3508368,81.523138946,24.0074193548387
2010,10,31.122394353,86.520870713,56.4587096774194
2011,10,0.37609683,85.947874624,67.3203225806452
2012,10,16.85189093,83.06184005,37.3812903225806
2013,10,72.791977296,82.824340388,98.3467741935484
2014,10,46.362480022,86.056714571,35.9332258064516
2015,10,34.618002506,92.210583862,29.9738709677419
1980,11,0,59.557762585,16.2433333333333
1981,11,3.52208787,53.079156258,6.10333333333333
1982,11,10.017397208,57.302523332,13.0466666666667
1983,11,0,48.978976663,33.3066666666667
1984,11,0,52.284425092,12.9566666666667
1985,11,0,54.592285328,35.6866666666667
1986,11,0,59.717486246,6.14666666666667
1987,11,12.4198135,55.970555873,25.661
1988,11,0,56.309627252,13.3726666666667
1989,11,0.08426627,58.8804586,4.36933333333333
1990,11,0,56.290533985,20.7916666666667
1991,11,2.52223858,52.642616444,11.1083333333333
1992,11,0.03948563,56.659332412,23.9463333333333
1993,11,0,57.432214194,23.9543333333333
1994,11,0,55.992231887,11.972
1995,11,0.1099849,56.038571161,11.8396666666667
1996,11,0,55.481555313,16.3893333333333
1997,11,91.38018202,57.743854167,38.894
1998,11,42.185631,57.64354652,16.308
1999,11,0,58.894543323,25.1043333333333
2000,11,0,60.39835921,5.533
2001,11,0.3927383,60.209435041,14.4423333333333
2002,11,1.9670197,57.204046668,19.2953333333333
2003,11,0.4806354,59.851554782,23.611
2004,11,5.95022731,56.001983146,13.748
2005,11,0,54.124032926,22.5286666666667
2006,11,27.1570355,60.845289156,21.0676666666667
2007,11,3.277458,57.816881216,8.07566666666667
2008,11,0.489561275,59.342797844,8.12733333333333
2009,11,77.68380136,56.610453532,14.8883333333333
2010,11,0.762329812,63.716779305,18.709
2011,11,0,60.32666439,26.3046666666667
2012,11,19.6260244,54.520110303,14.3373333333333
2013,11,0.003630862,53.989051703,19.3863333333333
2014,11,0,59.392845905,10.6953333333333
2015,11,0,65.306661199,14.1086666666667
1980,12,55.18683236,40.76359886,10.2129032258065
1981,12,34.588805542,37.464623691,4.08064516129032
1982,12,1.3072617,42.814747634,8.14193548387097
1983,12,2.06414488,38.764119511,11.4774193548387
1984,12,0,40.794636303,6.76129032258065
1985,12,0.0269289,42.613652067,10.0838709677419
1986,12,27.028440993,39.601657151,4.65483870967742
1987,12,3.0974281,38.40497384,9.52870967741936
1988,12,0.54326779,41.043445149,7.43741935483871
1989,12,17.6325252,39.694053114,2.6058064516129
1990,12,2.18547655,40.776024801,9.42451612903226
1991,12,0,38.775341091,6.36741935483871
1992,12,0,39.817344979,5.31935483870968
1993,12,0,38.983747327,7.25677419354839
1994,12,0,41.634209914,5.84290322580645
1995,12,13.2399383,41.662691444,4.64064516129032
1996,12,0,38.49050479,3.57741935483871
1997,12,113.47943155,37.785250066,78.7454838709677
1998,12,0,39.97354184,5.67548387096774
1999,12,0.03948563,39.210365133,7.66129032258065
2000,12,0,39.647772746,2.27161290322581
2001,12,0,42.202660167,6.36193548387097
2002,12,1.6692891,44.233788683,7.80096774193548
2003,12,7.6736765,41.237720025,10.1874193548387
2004,12,0,40.226952459,7.43064516129032
2005,12,1.35476552,38.769358366,8.45451612903226
2006,12,2.820726,44.061069118,16.5503225806452
2007,12,0.5319214,41.454670203,4.86548387096774
2008,12,0.041603633,45.527896486,3.66870967741935
2009,12,17.024508585,43.342007351,11.1006451612903
2010,12,4.4192129,39.847238856,9.12290322580645
2011,12,0,41.284716033,6.0658064516129
2012,12,12.207112486,42.468940464,12.2390322580645
2013,12,0,41.083911214,7.81032258064516
2014,12,10.150227,38.081079987,7.00903225806452
2015,12,0.03131619,42.53851092,3.57451612903226
