"year","month","P","E","Q"
1980,1,0.00831662745554815,0.0454369856291857,0.00277858138710051
1980,2,0.00777997588055366,0.0936962294737846,0.00200052223803515
1980,3,0.00501584122653973,0.291330028479304,0.00155273665749734
1980,4,0,0.592924039161275,0.00119492620142318
1980,5,0.00340272605132824,1,0.000739592986860578
1980,6,0.331979784702292,0.761067875586196,0.0351637646835768
1980,7,0.544896572249058,0.555373684611436,0.19729970922963
1980,8,0.756550837563811,0.410044313405536,0.486697132994346
1980,9,0.277252665463975,0.357772089608087,0.369308198612997
1980,10,0.00120346474931052,0.234874155809617,0.0549096715880246
1980,11,0,0.101004754889397,0.0205755313764492
1980,12,0.0768298631127191,0.0150821564979861,0.0129367480464122
1981,1,0.00594044837644482,0.0272118415337382,0.0101581666593116
1981,2,5.05480417178946e-06,0.0809322130134495,0.00762738102826657
1981,3,0.022411948103395,0.261454189165632,0.00676257675831081
1981,4,0.000483365678511137,0.534647729098525,0.00640531112211647
1981,5,0.0118362460639159,0.85598127698901,0.00295837194744231
1981,6,0.226856900799649,0.895055560203406,0.00985497439618974
1981,7,0.373906437821226,0.553060710308414,0.0862953828149644
1981,8,0.302151356303605,0.411939296054256,0.0849346951651049
1981,9,0.187796736764198,0.356784545797863,0.0216817881424312
1981,10,0.00718435209651015,0.207329456270836,0.0126997513986888
1981,11,0.00490337128171906,0.0713860552911588,0.00773113029966727
1981,12,0.0481537548248641,0,0.00516897860982669
1982,1,0.102488267035493,0.0451371337571172,0.0117068171677103
1982,2,0.0151962171709993,0.0544425342454484,0.0134270859382534
1982,3,0.0058107092584273,0.226821521604148,0.00509951407514918
1982,4,0.0039355864361828,0.481604213044254,0.00389301045127975
1982,5,0.0131043713771654,0.74894846223009,0.00243125871371295
1982,6,0.0994178994684473,0.808188316928933,0.00425191054711357
1982,7,0.227213467750274,0.68307001434939,0.0139296822773907
1982,8,0.800652178330786,0.39004747949614,0.376608103977784
1982,9,0.217730021314334,0.333495896167301,0.227572217237121
1982,10,0.0110297941620685,0.216554814338398,0.0395702678715903
1982,11,0.0139459944215645,0.0906943191899192,0.0165262938246301
1982,12,0.00181994024966539,0.0244595374194368,0.0103134403250613
1983,1,0.00227487251375225,0.0255131549219167,0.00786992316405234
1983,2,0.0133943879525831,0.0554338947751987,0.00722474940815049
1983,3,3.45411613765021e-05,0.265820423244385,0.00442121332476876
