"year","month","P","E","Q"
1980,3,3.602874946,101.188304722,1.2258064516129
1981,3,16.098485312,94.653453286,5.33870967741935
1982,3,4.17382805,87.078123436,4.0258064516129
1983,3,0.02481089,95.608495611,3.49032258064516
1984,3,0,98.41891999,5.40645161290323
1985,3,0.1579425,107.276130315,4.15806451612903
1986,3,32.2299596,94.633530873,9.24516129032258
1987,3,2.193191716,95.704489139,4.11290322580645
1988,3,5.50847274,98.995972001,4.79322580645161
1989,3,21.1496222,92.929739328,2.92870967741935
1990,3,2.1301056,89.666580867,1.68870967741935
1991,3,8.386686078,99.782890388,5.92870967741935
1992,3,0.002269289,99.985260188,1.8541935483871
1993,3,17.10287244,89.622030267,3.28483870967742
1994,3,0,103.754778089,1.84193548387097
1995,3,43.809982272,91.10680199,6.04064516129032
1996,3,2.6308624,106.005143527,5.19129032258065
1997,3,0,96.079509455,0.256129032258065
1998,3,22.836761951,86.26405203,14.1109677419355
1999,3,0,100.16308319,3.11645161290323
2000,3,0,91.613889501,2.99161290322581
2001,3,1.193040444,102.539805777,0.545483870967742
2002,3,2.584115,98.183561797,3.55935483870968
2003,3,0.76732224,96.396998561,6.18870967741935
2004,3,0,111.574103514,4.43032258064516
2005,3,24.99183424,100.350892332,9.52129032258065
2006,3,44.9508321,94.446367101,8.99161290322581
2007,3,0.51149779,93.876090604,0.825483870967742
2008,3,0.335400894,106.462382736,0.664838709677419
2009,3,4.91119527,103.370685427,1.94387096774194
2010,3,1.637519,115.007504207,2.45935483870968
2011,3,0.101059,103.575172958,0.567096774193548
2012,3,0.38441756,97.496575838,2.39451612903226
2013,3,26.401509631,96.469987353,6.24
2014,3,32.74916488,91.954412941,9.28387096774193
2015,3,77.724359174,89.821562472,6.14677419354839
1980,4,0,167.157064063,0.943333333333333
1981,4,0.3472012,154.410073945,5.05666666666667
1982,4,2.82692875,142.80767197,3.07333333333333
1983,4,0.41119507,137.663059198,2.77666666666667
1984,4,3.660817723,153.245587907,3.33
1985,4,1.108623274,153.452442728,3.13466666666667
1986,4,0,154.424159773,3.64
1987,4,0,152.917617812,2.18666666666667
1988,4,3.251134322,159.862435135,3.4
1989,4,0,148.000463127,2.48133333333333
1990,4,0.08774584,150.117917419,0.97
1991,4,2.372314272,139.54421698,4.008
1992,4,0.09001513,148.988333035,2.396
1993,4,0.405143771,151.658788841,2.14433333333333
1994,4,5.008320518,140.843328677,2.51866666666667
1995,4,1.843873002,144.907907147,4.806
1996,4,0.837670217,149.26061088,2.765
1997,4,7.89652025,136.151734244,0.279666666666667
1998,4,7.23827572,150.080162188,13.5463333333333
1999,4,0,165.449933055,1.77433333333333
2000,4,0,164.57511735,2.90766666666667
2001,4,18.404691825,146.111770079,0.427
2002,4,0.001361573,157.553738337,2.4
2003,4,0.202571881,160.937666786,3.68166666666667
2004,4,1.48366063,160.969710325,3.95033333333333
2005,4,5.48214795,139.474309892,3.96766666666667
2006,4,7.182450771,156.347738761,2.463
2007,4,2.32012122,160.199245825,0.562333333333333
2008,4,1.8190623,153.517419729,0.084
2009,4,0.7797277,154.362005053,1.38066666666667
2010,4,0.003479576,176.827664142,0.573666666666667
2011,4,6.467321871,146.088214099,0.0113333333333333
2012,4,1.096823,155.122964201,1.388
2013,4,15.54508378,146.410144102,2.45566666666667
2014,4,1.14357032,144.749492462,3.359
2015,4,21.04962191,144.299230323,3.17733333333333
1980,5,2.44417554,256.198275569,0.583870967741935
1981,5,8.501966564,224.696534346,2.33548387096774
1982,5,9.412860014,201.284855903,1.91935483870968
1983,5,16.829802969,215.152548391,1.85806451612903
1984,5,0.6360061,244.600877007,2.28387096774194
1985,5,0.703025788,240.094656645,1.91935483870968
1986,5,17.42496337,211.910896662,2.75806451612903
1987,5,8.257942968,211.838153662,1.88387096774194
1988,5,47.540245279,247.75956648,2.55193548387097
1989,5,1.393343372,238.35860812,1.57548387096774
1990,5,16.319517372,208.874547033,1.28451612903226
1991,5,1.769742719,235.080802907,2.71129032258065
1992,5,1.361119482,212.634202762,2.86354838709677
1993,5,4.86807951,242.912864886,1.69870967741935
1994,5,1.28124056,237.91822728,2.43096774193548
1995,5,0.23116486,221.864428458,2.98645161290323
1996,5,0.087443272,236.29714411,1.65451612903226
1997,5,0.87639935,213.874213931,0.137741935483871
1998,5,0.96081692,242.614556214,6.33290322580645
1999,5,3.064902203,233.98221721,1.11838709677419
2000,5,10.056278717,211.825561252,2.67064516129032
2001,5,10.167776162,229.656411056,0.189354838709677
2002,5,9.50408475,244.792425016,0.841935483870968
2003,5,0.002571861,230.036598327,1.64354838709677
2004,5,2.48320719,228.773323351,2.79387096774194
2005,5,25.361572452,220.511881141,1.69935483870968
2006,5,23.222844788,229.868756963,1.46161290322581
2007,5,4.768079238,224.562754871,0.459354838709677
2008,5,1.77745845,221.873155563,0
2009,5,1.721482619,235.491675642,0.76741935483871
2010,5,0.500000008,251.76485731,0.115483870967742
2011,5,15.11331252,240.170556579,0.0851612903225806
2012,5,0.604538607,233.375921185,0.316774193548387
2013,5,0.01043873,244.896865384,0.537741935483871
2014,5,3.017700517,216.386984857,1.52516129032258
2015,5,1.23373672,238.979057315,0.833548387096774
