"year","month","P","E","Q"
1980,1,5.973827189,47.403221488,2.19354838709677
1981,1,4.26701956,43.416769164,8.01935483870968
1982,1,73.617244423,47.337633793,9.24193548387097
1983,1,1.6340392,43.045209238,6.21290322580645
1984,1,52.029349592,44.332828607,10.7258064516129
1985,1,51.871108576,44.905633065,7.55161290322581
1986,1,4.737064484,45.555367215,6.68387096774194
1987,1,32.127385691,42.958700517,6.08064516129032
1988,1,6.84114961,45.421816108,7.42096774193548
1989,1,0.1092284,41.174934073,4.85741935483871
1990,1,0.000605144,49.150203012,2.22935483870968
1991,1,0.173525,42.296517069,7.40129032258065
1992,1,0,44.278516408,4.20774193548387
1993,1,0,45.137883213,3.33677419354839
1994,1,1.81497728,48.414200494,5.12677419354839
1995,1,15.5198183,40.418719671,8.53967741935484
1996,1,74.65415783,45.222436885,8.92870967741936
1997,1,5.5090773,41.861253201,2.56
1998,1,33.176100415,42.968334372,22.3883870967742
1999,1,1.034191,42.623093024,3.13096774193548
2000,1,0,44.941587826,5.00354838709677
2001,1,3.99107403,43.194693376,2.38548387096774
2002,1,0,44.135375526,5.09838709677419
2003,1,0.29409982,42.716469159,4.82
2004,1,41.21528492,42.348132334,11.218064516129
2005,1,46.77155493,43.756471119,8.24
2006,1,0,47.946124001,8.34354838709677
2007,1,0,46.256972806,13.0577419354839
2008,1,0.980938,44.618716891,2.22806451612903
2009,1,28.87504029,50.122210671,6.9141935483871
2010,1,5.567776269,41.075036269,8.51967741935484
2011,1,0.0332829,41.928532109,3.78354838709677
2012,1,37.980636544,41.202601232,9.98161290322581
2013,1,0.1440242,42.135191267,10.9
2014,1,42.32012443,42.931153309,9.65612903225806
2015,1,52.22995763,39.939853951,9.39322580645161
1980,2,5.58835077,57.959142131,1.57931034482759
1981,2,0.003630862,55.167222198,6.02142857142857
1982,2,10.91543126,49.373038024,10.6
1983,2,9.6211787,49.589881933,5.70357142857143
1984,2,24.042209572,48.415702169,8.29655172413793
1985,2,9.2236008,49.954776723,6.08928571428571
1986,2,71.29122322,50.749567941,15.4142857142857
1987,2,56.044324033,54.078076001,4.26785714285714
1988,2,12.7807863,57.988319695,5.81172413793103
1989,2,0,52.449934942,3.45571428571429
1990,2,32.3753372,53.277592289,2.39071428571429
1991,2,10.464145777,57.79397532,5.17535714285714
1992,2,0,49.752806918,2.70862068965517
1993,2,14.2909233,54.604684999,2.22928571428571
1994,2,3.37957629,50.341994685,2.79
1995,2,4.233282603,51.85684937,4.97821428571429
1996,2,11.67942485,55.334299976,7.65344827586207
1997,2,0,51.130295075,1.26321428571429
1998,2,4.244478,52.601662126,17.0746428571429
1999,2,46.29742905,56.078179934,6.02321428571429
2000,2,0,49.964682799,3.53620689655172
2001,2,1.4022695,55.917917653,0.800714285714286
2002,2,25.50801825,53.666664551,5.6325
2003,2,41.533134162,53.643701252,8.8775
2004,2,0,54.024855987,10.2758620689655
2005,2,7.212255047,53.001134264,19.0396428571429
2006,2,0,66.982734758,5.935
2007,2,30.649925,54.754126999,1.9325
2008,2,1.38063534,50.509661308,0.823448275862069
2009,2,0,59.439272585,3.74214285714286
2010,2,7.830559676,55.537398708,4.85071428571429
2011,2,2.48547685,55.625217712,1.90642857142857
2012,2,0.08335855,54.607213776,4.23655172413793
2013,2,56.593492771,52.529239229,14.0582142857143
2014,2,53.840994347,49.099241281,7.70357142857143
2015,2,14.70136176,56.141932374,6.6225
